rules,support,confidence,lift
{herbs} => {root vegetables},0.00701576,0.43125,3.956477379
{berries} => {whipped/sour cream},0.009049314,0.272171254,3.796885505
"{other vegetables,tropical fruit,whole milk} => {root vegetables}",0.00701576,0.410714286,3.768073694
"{beef,other vegetables} => {root vegetables}",0.007930859,0.402061856,3.688692491
"{other vegetables,tropical fruit} => {pip fruit}",0.009456024,0.263456091,3.482648725
"{beef,whole milk} => {root vegetables}",0.008032537,0.377990431,3.467850639
"{other vegetables,pip fruit} => {tropical fruit}",0.009456024,0.361867704,3.448613248
"{pip fruit,yogurt} => {tropical fruit}",0.006405694,0.355932203,3.392047694
"{citrus fruit,other vegetables} => {root vegetables}",0.010371124,0.35915493,3.295045459
"{other vegetables,whole milk,yogurt} => {tropical fruit}",0.007625826,0.342465753,3.263711904
"{other vegetables,whole milk,yogurt} => {root vegetables}",0.007829181,0.351598174,3.225716452
"{tropical fruit,whipped/sour cream} => {yogurt}",0.006202339,0.448529412,3.215223589
"{other vegetables,tropical fruit,whole milk} => {yogurt}",0.007625826,0.446428571,3.200163994
"{other vegetables,rolls/buns,whole milk} => {root vegetables}",0.006202339,0.346590909,3.179777603
"{frozen vegetables,other vegetables} => {root vegetables}",0.006100661,0.342857143,3.145522388
"{other vegetables,tropical fruit} => {root vegetables}",0.012302999,0.342776204,3.144779819
{sliced cheese} => {sausage},0.00701576,0.286307054,3.04743493
"{other vegetables,tropical fruit} => {citrus fruit}",0.009049314,0.252124646,3.046248025
{beef} => {root vegetables},0.017386884,0.331395349,3.040366843
"{citrus fruit,root vegetables} => {other vegetables}",0.010371124,0.586206897,3.029608422
"{butter,other vegetables} => {root vegetables}",0.006609049,0.329949239,3.027099591
"{root vegetables,tropical fruit,whole milk} => {other vegetables}",0.00701576,0.584745763,3.022057055
"{root vegetables,tropical fruit} => {other vegetables}",0.012302999,0.584541063,3.020999134
"{domestic eggs,other vegetables} => {root vegetables}",0.007320793,0.328767123,3.016254345
"{root vegetables,yogurt} => {tropical fruit}",0.008134215,0.31496063,3.001587011
"{fruit/vegetable juice,other vegetables} => {tropical fruit}",0.006609049,0.314009662,2.992524248
"{citrus fruit,other vegetables} => {tropical fruit}",0.009049314,0.313380282,2.986526231
"{other vegetables,pork} => {root vegetables}",0.00701576,0.323943662,2.972001787
"{bottled water,yogurt} => {tropical fruit}",0.007117438,0.309734513,2.951781917
"{tropical fruit,whipped/sour cream} => {other vegetables}",0.007829181,0.566176471,2.926088065
"{other vegetables,root vegetables,whole milk} => {tropical fruit}",0.00701576,0.302631579,2.884090677
